BJD_TDB	Norm_Flux	Norm_Flux_err	Airmass	Sky_Pixel_T1	JD_UTC	tot_C_counts	X(FITS)_T1	Y(FITS)_T1	Width_T1
2458040.40072428	0.970440	0.002904	2.045503	580.525223	2458040.394931	608717.322798	559.073679	535.271373	4.932352
2458040.40212422	0.963072	0.002876	2.021698	571.818182	2458040.396331	614435.5332	559.636484	535.483295	4.830917
2458040.40351315	0.965120	0.002860	1.998686	567.935484	2458040.39772	613889.855115	559.674068	535.391674	4.82664
2458040.40491308	0.968291	0.002950	1.976060	569.182927	2458040.39912	611475.620194	559.646219	535.177532	5.038104
2458040.40630202	0.967053	0.002896	1.954176	568.467836	2458040.400509	611461.060179	559.43835	534.832817	4.930193
2458040.40770295	0.969795	0.002885	1.932652	568.493631	2458040.40191	612490.445567	559.273734	534.692883	4.800082
2458040.40909189	0.961720	0.002877	1.911824	581.636364	2458040.403299	609238.531097	558.870576	534.541187	4.799314
2458040.41049182	0.965417	0.002919	1.891329	579.165192	2458040.404699	607445.79143	559.30328	535.263571	4.908197
2458040.41188076	0.969113	0.002901	1.871490	562.172012	2458040.406088	610748.366621	559.115433	535.002517	4.92978
2458040.41328069	0.964531	0.002892	1.851960	561.169753	2458040.407488	611586.067385	559.471983	535.218536	4.822612
2458040.41466962	0.965393	0.002914	1.833048	560.83792	2458040.408877	610585.722832	559.590297	535.340204	4.838596
2458040.41607056	0.968716	0.002865	1.814423	561.046012	2458040.410278	609655.199118	559.55764	535.180789	4.763908
2458040.41747049	0.965655	0.002876	1.796232	559.359281	2458040.411678	611257.798604	559.718896	535.336375	4.841142
2458040.41885943	0.966333	0.002889	1.778606	560.481848	2458040.413067	611452.305054	560.445787	535.721545	4.792183
2458040.42026036	0.962823	0.002864	1.761240	563.792049	2458040.414468	610430.596006	560.612804	536.089208	4.813286
2458040.42164829	0.967847	0.002953	1.744407	562.853293	2458040.415856	607402.251989	560.997861	536.408521	5.009676
2458040.42304923	0.969102	0.003026	1.727817	564.821212	2458040.417257	605506.512244	560.932319	536.556226	5.130358
2458040.42443816	0.970759	0.002984	1.711732	563.68915	2458040.418646	605041.232473	560.896372	536.786464	5.052451
2458040.42583810	0.969192	0.002985	1.695874	564.657817	2458040.420046	608288.624312	562.397698	536.483477	5.159957
2458040.42723903	0.973781	0.003077	1.680366	566.501502	2458040.421447	603696.403144	562.171253	536.433951	5.289889
2458040.42863896	0.986639	0.003144	1.665201	564.990964	2458040.422847	603485.019643	561.984264	536.320498	5.36606
2458040.43002790	0.982428	0.003104	1.650489	567.889552	2458040.424236	598928.6937	562.117148	536.505716	5.364785
2458040.43142883	0.984921	0.003252	1.635975	564.098802	2458040.425637	601496.478642	562.57019	536.670124	5.654508
2458040.43282877	0.985638	0.003399	1.621775	564.753799	2458040.427037	597058.978713	563.567949	536.798746	5.896597
2458040.43421770	0.991491	0.003275	1.607995	563.457792	2458040.428426	594994.658379	564.199978	536.955492	5.652333
2458040.43561763	0.990150	0.003200	1.594395	565.626113	2458040.429826	596471.192552	565.328772	536.98799	5.527993
2458040.43701857	0.994493	0.003308	1.581085	566.440476	2458040.431227	592947.029068	565.051393	537.430362	5.746142
2458040.43840750	0.994467	0.003386	1.568162	566.649425	2458040.432616	587957.838975	566.099107	537.360338	5.918829
2458040.43980744	0.996446	0.003340	1.555405	569.495413	2458040.434016	588220.77033	566.968121	537.648862	5.682387
2458040.44119637	0.990664	0.003237	1.543017	571.255255	2458040.435405	584655.47306	567.251299	537.898654	5.505678
2458040.44259730	0.997561	0.003235	1.530785	569.922619	2458040.436806	586218.148746	567.831734	537.975123	5.457246
2458040.44398524	0.996009	0.003221	1.518904	571.276471	2458040.438194	582446.116664	567.678481	538.113598	5.438553
2458040.44538617	0.997752	0.003222	1.507171	571.336364	2458040.439595	581868.198469	568.141585	538.178986	5.397533
2458040.44677510	0.992936	0.003150	1.495772	570.93865	2458040.440984	583346.883289	568.567615	538.362872	5.30499
2458040.44817504	0.992479	0.003182	1.484513	572.237654	2458040.442384	584593.253586	568.951354	538.266775	5.255208
2458040.44956397	0.996558	0.003132	1.473573	570.949686	2458040.443773	582414.825405	569.534742	538.252293	5.130558
2458040.45096491	0.995660	0.003152	1.462765	570.542029	2458040.445174	583931.887287	569.105925	538.365949	5.188111
2458040.45235284	0.992420	0.003120	1.452262	569.976945	2458040.446562	582257.711383	570.293176	538.479218	5.167586
2458040.45375377	0.999785	0.003192	1.441884	570.809231	2458040.447963	579393.895685	570.784332	538.689379	5.152626
2458040.45514271	0.998899	0.003156	1.431797	570.489552	2458040.449352	575981.402534	571.381774	539.010174	5.14966
2458040.45654264	1.001943	0.003359	1.421829	570.770149	2458040.450752	575433.870293	571.21218	539.39438	5.578828
2458040.45793158	0.995003	0.003335	1.412139	572.661392	2458040.452141	572808.375972	572.562789	539.336097	5.516483
2458040.45933251	1.003127	0.003342	1.402562	573.444759	2458040.453542	566173.790251	573.25731	539.854082	5.592071
2458040.46072144	1.002562	0.003552	1.393252	572.390769	2458040.454931	565566.53958	574.108111	540.071847	5.892362
2458040.46212138	0.999302	0.003570	1.384048	577.715517	2458040.456331	561535.382107	575.023736	540.608175	6.026933
2458040.46351031	1.000911	0.003769	1.375100	574.52649	2458040.45772	564979.914207	574.611918	540.315748	6.22036
2458040.46491024	1.005000	0.003634	1.366254	576.452096	2458040.45912	560301.381738	575.741532	540.56604	6.096096
2458040.46629918	0.997971	0.003555	1.357652	577.877301	2458040.460509	560302.364867	576.541235	540.751723	5.897699
2458040.46770011	1.001304	0.003487	1.349147	575.889222	2458040.46191	557691.803346	576.329723	540.87099	5.700253
2458040.46910005	1.002657	0.003557	1.340809	574.658754	2458040.46331	556377.389473	577.182111	541.193868	5.876435
2458040.47048898	0.995711	0.003588	1.332700	577.967164	2458040.464699	553185.620214	579.010374	541.381648	5.948126
2458040.47188991	1.001375	0.003645	1.324682	578.446602	2458040.4661	555396.97173	579.903783	541.864441	5.821384
2458047.33753114	0.994031	0.003492	3.276964	648.93617	2458047.332095	527434.531273	621.15747	518.186147	5.577708
2458047.33893106	1.002314	0.003388	3.214612	648.940439	2458047.333495	522719.057109	621.953447	518.337234	5.367184
2458047.34031998	1.001762	0.003258	3.155042	644.712025	2458047.334884	523708.469029	622.526966	518.426251	5.11259
